Company Name,Position,location,link,Year of Experience,Date
HubSpot,Software Engineer (Canada),"Remote - Ontario, Canada",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fwww.hubspot.com%2Fcareers%2Fjobs%2F5332012&v=1.0&sign=8021d6036d93516638626d8c14dbaab1,0,5/27/2024
HubSpot,Software Engineer (Canada),"Toronto, Ontario, Canada",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fwww.hubspot.com%2Fcareers%2Fjobs%2F5992229&v=1.0&sign=01ea5f7ceaded3624b5e7e3e5e690b3f,0,5/27/2024
General Motors,Motorsport Vehicle Dynamics Software Engineer,"Concord, North Carolina",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fsearch-careers.gm.com%2Fen%2Fjobs%2Fjr-202412187%2Fmotorsport-vehicle-dynamics-software-engineer%2F&v=1.0&sign=4e9ed358d978a49f5453ea0338b2a1df,5,5/27/2024
Electronic Arts (EA),Senior Product Manager (Monetization) - The Sims,"Redwood City, CA, USA + 3 more",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fea.gr8people.com%2Fjobs%2F184016%2Fsenior-product-manager-monetization-the-sims&v=1.0&sign=0914f138f39d14dacd826faa1470aa16,5,5/27/2024
Dolby,"Sr Software Engineer in Test, Dolby Vision","Sunnyvale, California,United States",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fjobs.dolby.com%2Fcareers%2Fjob%2F22198882&v=1.0&sign=4d429638182c30b8abdf648e5f924477,5,5/27/2024
Xero,Data Analyst,"Wellington, NZ",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fjobs.lever.co%2Fxero%2F8f38cd2a-3fa4-482e-bc99-20f13dd85599&v=1.0&sign=ff15833db5d5eb8266f5ab505b9e29de,2,5/27/2024
Veeva Systems,Senior Product Manager - DAM,Pennsylvania - Philadelphia,https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fjobs.lever.co%2Fveeva%2Fad5323bc-c570-4a5f-ae0e-304bfd6e2eff&v=1.0&sign=db0003888bbb844cdd763221440adb77,2,5/27/2024
Veeva Systems,Senior Product Manager - DAM,New York - New York City,https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fjobs.lever.co%2Fveeva%2F4c1d97c2-e339-4b06-b29f-fe9221094a49&v=1.0&sign=f1c0112631b3a8c5f55141b970f27bb7,2,5/27/2024
Launch Potato,Machine Learning Lead,"Tallahassee, FL (remote)",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fboards.greenhouse.io%2Flaunch2%2Fjobs%2F5178516004&v=1.0&sign=0662086204acd7e9d418b0799ec263b6,4,5/27/2024
Launch Potato,Machine Learning Lead,"Atlanta, GA (remote)",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fboards.greenhouse.io%2Flaunch2%2Fjobs%2F5178525004&v=1.0&sign=82306438237a32e581ce37355ca53fdd,4,5/27/2024
Launch Potato,Machine Learning Lead,"Jacksonville, FL (remote)",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fboards.greenhouse.io%2Flaunch2%2Fjobs%2F5178514004&v=1.0&sign=88850d362b4108ac4d189f83027b26e9,4,5/27/2024
Launch Potato,Machine Learning Lead,"Chapel Hill, NC (remote)",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fboards.greenhouse.io%2Flaunch2%2Fjobs%2F5178549004&v=1.0&sign=718576a866005994b019b5b31dd55311,4,5/27/2024
Launch Potato,Machine Learning Lead,"Newark, NJ (remote)",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fboards.greenhouse.io%2Flaunch2%2Fjobs%2F5178550004&v=1.0&sign=eff9d737ae9d944ae61a06a0dde33ece,4,5/27/2024
Launch Potato,Machine Learning Lead,"Jersey City, NJ (remote)",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fboards.greenhouse.io%2Flaunch2%2Fjobs%2F5178551004&v=1.0&sign=d2a6c832db7145516f24c22a5c25fa72,4,5/27/2024
Lightspeed Commerce,Implementation Consultant (Hospitality),"Melbourne, Victoria, Australia",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fboards.greenhouse.io%2Flightspeedhq%2Fjobs%2F5980925&v=1.0&sign=fac2503eaac8b0b1755347f90632e46d,2,5/27/2024
Siemens,Senior Software Engineer (Finite Element Analysis),"Exton, Pennsylvania, United States of America",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fjobs.siemens.com%2Fcareers%2Fjob%2F563156119161368&v=1.0&sign=9a01971fd73f8973f961c31576d80324,5,5/27/2024
Siemens,Senior Application Engineer - Medium Voltage Switchgear Proposals,"Wendell, North Carolina, United States of America",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fjobs.siemens.com%2Fcareers%2Fjob%2F563156119173227&v=1.0&sign=0df7e1683ef7b8ec6bc38304524e10d3,4,5/27/2024
Walmart,"Principal, Software Engineer","BELLEVUE, WA",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fcareers.walmart.com%2Fus%2Fjobs%2FWD1873852-principal-software-engineer&v=1.0&sign=a35c8cea86bead992b28f82d1530c959,8,5/27/2024
Walmart,"(USA) Senior Manager, Software Engineering","BELLEVUE, WA",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fcareers.walmart.com%2Fus%2Fjobs%2FWD1873595-usa-senior-manager-software-engineering&v=1.0&sign=a9649fe0781086e09d45d989a8bdc607,8,5/27/2024
Walmart,"Staff, Software Engineer","BELLEVUE, WA",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fcareers.walmart.com%2Fus%2Fjobs%2FWD1873609-staff-software-engineer&v=1.0&sign=362c2563c0c203fe8cd89a2f8672327e,6,5/27/2024
Trimble Inc.,Senior UX Designer Senior UX Designer with verification,"Westminster, CO (Hybrid)",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fview%2F3868320247%2F&v=1.0&sign=3ab0a383af0fceda67fd9b5c585c03fa,8,5/27/2024
CryptoRecruit,UX Designer - Crypto Staking PlatformUX Designer - Crypto Staking Platform,United States (Remote),https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fview%2F3934516863%2F&v=1.0&sign=0370da60fa091f8f9bbcb6e75901545c,4,5/27/2024
ElevaIT Solutions,UI/UX DesignerUI/UX Designer,United States (Remote),https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fview%2F3934595895%2F&v=1.0&sign=48f11339ffd6546806df3409e663e0f2,6,5/27/2024
Dice,UI/UX DesignerUI/UX Designer,"Fairfax, VA (On-site)",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fview%2F3935597218%2F&v=1.0&sign=4a6d7e2ae962b80b1411964c6de9d9bb,2,5/27/2024
Trimble Inc.,UX Designer UX Designer with verification,"Portland, OR (Hybrid)",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fview%2F3868323165%2F&v=1.0&sign=bd1fe54018bb91b9ffad1d7d92822807,5,5/27/2024
Google,"Software Engineer III, Google Cloud Networking Software Engineer III, Google Cloud Networking with verification","Sunnyvale, CA (On-site)",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fview%2F3932607297%2F&v=1.0&sign=325b76c8267c9dc6a9dbb5f2b7a07d93,2,5/27/2024
Meta,"Software Engineer, Systems","Menlo Park, CA; Remote, US",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fwww.metacareers.com%2Fjobs%2F406292842374301%2F&v=1.0&sign=944c1c5684d2f12b102f25856ffa5621,1,5/27/2024
Engtal,Data Analyst (Entry Level)Data Analyst (Entry Level),United States (Remote),https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fview%2F3933665645%2F&v=1.0&sign=bdfce3742d8e9edfe6cde1ee745e4d07,0,5/27/2024
Microsoft,Senior Research ScientistSenior Research Scientist,"Redmond, WA (Remote)",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fview%2F3934599652%2F&v=1.0&sign=2f6d5bf7942cb001a7ea7519bb6a04fd,0,5/27/2024
Jobot,Machine Learning EngineerMachine Learning Engineer,"Chicago, IL (On-site)",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fview%2F3933607151%2F&v=1.0&sign=4059c864c1e00fb9671c6d454630d15b,5,5/27/2024
Meta,Software Engineer (Systems),"Menlo Park, CA",https://dm-cn.aliyuncs.com/trace/v1/report?bid=1&env=600000086484869805&mac=295278&mf=noreply%40mail.libaspace.com&msgid=171682218595.668285.623865695482244855%40localhost&sac=0&tag=openJob&tid=&to=rishabhj%40udel.edu&tpl=&ts=1716822187&type=0&url=https%3A%2F%2Fwww.metacareers.com%2Fjobs%2F1474355966622339%2F&v=1.0&sign=1aade0737ac51e8f5c1cbe88630765d8,2,5/27/2024
